Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30
101,Children's Play Farm,Inglenook Park,,20936 West 12 Mile Road,Southfield,MI,48076,"20936 West 12 Mile Road Southfield, MI 48076",,,,,,,"This playground . The Play Farm at Inglenook Park consists of farm-themed play equipment, including tractor bouncers, animal cutouts and an enormous playscape that has red barn top roofs throughout. The new Play Farm will be the largest playground in the city, complimenting the existing fitness trails, ball diamonds and the restored Miller Barn at the 42-acre Inglenook Park. The safety fall zones surrounding the play equipment are covered by a combination of rubber and wood fiber safety surfacing. The Play Farm exceeds federal standards for accessibility, allowing children of all abilities an opportunity to play together. Federal guidelines require that 50 percent of a playgroundÕs elevated structure be accessible. By comparison, a ""Boundless PlaygroundÓ requires that at least 70 percent of play activities serve children with physical disabilities, allowing for greater ""integrationÓ of all children.","This playground consists of farm-themed play equipment, including tractor bouncers, animal cutouts and an enormous playscape that has red barn top roofs throughout.",,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1010,Mt. Morris East,,,E 122 ST & MADISON AVE,New York,NY,10027,"E 122 ST & MADISON AVE New York, NY 10027",40.8033,-73.9431,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1011,Mullaly Park (1),,,E 164 ST & RIVER AVE,Bronx,NY,10452,"E 164 ST & RIVER AVE Bronx, NY 10452",40.8311,-73.9244,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1012,Mullaly Playground (2),,,CROMWELL AVE & MCCLELLAN ST,Bronx,NY,10452,"CROMWELL AVE & MCCLELLAN ST Bronx, NY 10452",40.8317,-73.9247,,,City of New York,Municipal/Local Government,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1013,Murray Playground,,,"21 St, 45 Ave, 11 St, 45 Rd",Long Island City,NY,11101,"21 St, 45 Ave, 11 St, 45 Rd Long Island City, NY 11101",40.7472,-73.9488,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1014,Naples Playground,,,"Targee St, Naples St",Staten Island,NY,10304,"Targee St, Naples St Staten Island, NY 10304",40.6025,-74.0903,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1015,Nathan Straus Playground,,,N/s Rivington & Attorney Sts,New York,NY,10002,"N/s Rivington & Attorney Sts New York, NY 10002",40.7192,-73.984,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1016,Nautilus Playground,,,"Public Beach, W 29 & W 32 Sts",Brooklyn,NY,11224,"Public Beach, W 29 & W 32 Sts Brooklyn, NY 11224",40.5717,-73.9963,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1017,Nautilus Playground,,,"Merrick Blvd, 120 Ave, Baisley Blvd",Jamaica,NY,11434,"Merrick Blvd, 120 Ave, Baisley Blvd Jamaica, NY 11434",40.685,-73.7708,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1018,Nehemiah Park,,,"Osborn St, Watkins St, Riverdale",Brooklyn,NY,11212,"Osborn St, Watkins St, Riverdale Brooklyn, NY 11212",40.6618,-73.9054,,,City of New York,Municipal/Local Government,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1019,Nelson Playground,,,"W 166 St, Nelson Ave, Wododycrest Ave",Bronx,NY,10452,"W 166 St, Nelson Ave, Wododycrest Ave Bronx, NY 10452",40.8348,-73.9268,,,City of New York,Municipal/Local Government,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,http://www.nycgovparks.org/facilities/playgrounds/,Stiles,City Data Portal,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,Eastern Elementary School Playground,,,1600 Eastern Avenue,Traverse City,MI,49686,"1600 Eastern Avenue Traverse City, MI 49686",,,,,,,,,,Robert,Mara,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
